"","geohash","PLANTA","usuarios","LATITUD","LONGITUD"
"184","ezpb86v5s","0",5,39.4786190986633,-0.333516597747803
"185","ezpb86v5s","1",5,39.4786190986633,-0.333516597747803
"186","ezpb86v5s","4",5,39.4786190986633,-0.333516597747803
"187","ezpb86v5x","1",5,39.4786190986633,-0.333387851715088
"188","ezpb86v5x","4",5,39.4786190986633,-0.333387851715088
"189","ezpb86vjb","A",15,39.4790053367615,-0.333688259124756
"190","ezpb86vjf","1",5,39.4790053367615,-0.333602428436279
"191","ezpb86vju","1",5,39.4790053367615,-0.333516597747803
"192","ezpb86vju","A",5,39.4790053367615,-0.333516597747803
"193","ezpb86vn2","1",5,39.47909116745,-0.333688259124756
"194","ezpb86vn2","2",5,39.47909116745,-0.333688259124756
"195","ezpb86vn6","0",5,39.47909116745,-0.333602428436279
"196","ezpb86vn6","2",5,39.47909116745,-0.333602428436279
"197","ezpb86vnk","2",5,39.47909116745,-0.333516597747803
"198","ezpb8708y","2",5,39.4795203208923,-0.339610576629639
"199","ezpb870b1","2",5,39.4793915748596,-0.339481830596924
"200","ezpb870b5","1",5,39.4793915748596,-0.339395999908447
"201","ezpb870b5","3",5,39.4793915748596,-0.339395999908447
"202","ezpb870bj","3",5,39.4793915748596,-0.339310169219971
"203","ezpb871r1","1",5,39.4805932044983,-0.338795185089111
"204","ezpb871r1","5",5,39.4805932044983,-0.338795185089111
"205","ezpb871y9","2",5,39.4805073738098,-0.338108539581299
"206","ezpb8736n","1",5,39.4811081886292,-0.33858060836792
"207","ezpb8739r","A",5,39.4809794425964,-0.338194370269775
"208","ezpb873s6","2",5,39.4814944267273,-0.338408946990967
"209","ezpb873s6","A",5,39.4814944267273,-0.338408946990967
"210","ezpb874pe","2",5,39.4806790351868,-0.337679386138916
"211","ezpb8759q","0",5,39.4796061515808,-0.335490703582764
"212","ezpb875bv","0",5,39.4795203208923,-0.335190296173096
"213","ezpb8762u","0",5,39.480893611908,-0.337293148040771
"214","ezpb87674","1",5,39.4812798500061,-0.337378978729248
"215","ezpb876gn","1",5,39.4812798500061,-0.336520671844482
"216","ezpb876hg","1",5,39.4815802574158,-0.337679386138916
"217","ezpb876jx","2",5,39.4817090034485,-0.337507724761963
"218","ezpb876n5","0",5,39.481794834137,-0.337679386138916
"219","ezpb87755","1",5,39.4812798500061,-0.336306095123291
"220","ezpb8775g","0",5,39.4814085960388,-0.336306095123291
"221","ezpb8775g","1",5,39.4814085960388,-0.336306095123291
"222","ezpb8775v","1",15,39.4814085960388,-0.336220264434814
"223","ezpb878sw","1",5,39.4829106330872,-0.339610576629639
"224","ezpb879uw","0",5,39.4829106330872,-0.337893962860107
"225","ezpb87b0n","0",5,39.4835114479065,-0.340297222137451
"226","ezpb87bbt","0",5,39.483597278595,-0.339310169219971
"227","ezpb87d40","0",5,39.4824814796448,-0.337808132171631
"228","ezpb87h01","0",5,39.4793915748596,-0.335018634796143
"229","ezpb87h20","0",5,39.4793915748596,-0.334718227386475
